employee_id,plant,role,role_type,digital_readiness_score,digital_comfort_score,willing_to_pilot,training_days_willing,dedicated_training_time,hours_manual_entry,hours_searching_data,hours_fixing_errors,hourly_wage,training_received,training_quality,willingness_to_adopt,union_status
EMP-0000,"Rockford, Illinois",Production/Manufacturing Operator,Front-line,6.6,7.5,Yes,>2 days,No,5.9,1.2,0.6,22.55,Yes,Excellent- comprehensive and very helpful,2.6,Union
EMP-0001,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,9.6,5.6,No,1-2 days,No,12.8,12.2,10.3,21.13,Yes,Poor - insufficient or unhelpful,3.0,Union
EMP-0002,"Cedar Rapids, Iowa",Demand Planning/Forecasting,Back-office/Support,1,4.3,No,<1 day,No,4.8,4.0,2.9,25.96,No,,2.6,Union
EMP-0003,"Rockford, Illinois",Production/Manufacturing Operator,Front-line,6.5,2.3,No,1-2 days,No,5.3,3.9,3.9,20.67,No,,2.0,Union
EMP-0004,"Cedar Rapids, Iowa",Quality Control/Quality Assurance,Front-line,5.0,7.2,Yes,>2 days,No,4.9,0.9,2.9,19.86,No,,3.9,Union
EMP-0005,"Cedar Rapids, Iowa",Administrative/Support Staff,Back-office/Support,7.2,4.3,No,1-2 days,No,2.1,1.1,3.8,16.27,Yes,Excellent- comprehensive and very helpful,3.8,Non-Union
EMP-0006,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,2.6,5.6,Yes,<1 day,Yes,16.0,18.0,4.2,20.51,No,,2.9,Non-Union
EMP-0007,"Kalamazoo, Michigan",Plant Management,Management,10,5.7,No,>2 days,No,19.6,17.6,10.7,44.13,Yes,Good- adequate for most needs,1.1,Non-Union
EMP-0008,"Kalamazoo, Michigan",Maintenance Technician,Front-line,5.3,3.5,Yes,<1 day,No,19.2,5.5,8.6,24.22,No,,1.7,Union
EMP-0009,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,9.6,5.2,Yes,<1 day,Yes,18.7,5.6,6.3,29.58,No,,3.6,Non-Union
EMP-0010,"Rockford, Illinois",Maintenance Technician,Front-line,3.6,9.5,No,<1 day,Yes,1.0,2.4,2.2,28.15,No,,1.5,Non-Union
EMP-0011,"Toledo, Ohio",Plant Management,Management,5.8,4.7,Yes,<1 day,Yes,10.7,7.1,6.0,42.41,No,,3.5,Union
EMP-0012,"Cedar Rapids, Iowa",Quality Control/Quality Assurance,Front-line,1,4.7,No,<1 day,No,4.1,1.4,1.9,23.26,No,,3.9,Non-Union
EMP-0013,"Cedar Rapids, Iowa",Administrative/Support Staff,Back-office/Support,4.4,3.1,Yes,1-2 days,No,3.3,4.3,0.2,21.24,No,,4.2,Non-Union
EMP-0014,"Madison, Wisconsin",Administrative/Support Staff,Back-office/Support,9.2,7.2,Yes,<1 day,Yes,1.5,2.3,3.5,17.4,No,,4.8,Union
EMP-0015,"Toledo, Ohio",Plant Management,Management,7.1,5.6,No,1-2 days,No,18.6,16.1,11.1,36.79,Yes,Fair- some gaps or inconsistencies,3.0,Non-Union
EMP-0016,"Madison, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,1.8,4.6,Yes,<1 day,No,2.4,4.8,2.3,26.6,No,,3.5,Union
EMP-0017,"Madison, Wisconsin",Quality Control/Quality Assurance,Front-line,7.1,8.4,Yes,>2 days,Yes,4.8,3.4,0.9,23.93,No,,2.2,Non-Union
EMP-0018,"Cedar Rapids, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,7.0,7.6,No,1-2 days,Yes,5.4,1.6,1.1,27.47,Yes,Fair- some gaps or inconsistencies,3.5,Union
EMP-0019,"Kalamazoo, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,6.1,7.1,No,>2 days,No,10.9,8.9,3.6,23.65,No,,4.5,Union
EMP-0020,"Kalamazoo, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,5.6,9.7,Yes,1-2 days,No,28.5,5.5,10.9,22.02,No,,3.1,Non-Union
EMP-0021,"Kalamazoo, Michigan",Plant Management,Management,4.5,2.7,Yes,<1 day,No,13.5,16.7,3.5,40.23,No,,2.7,Non-Union
EMP-0022,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,5.6,4.4,Yes,1-2 days,Yes,20.3,5.6,11.5,20.74,No,,4.0,Union
EMP-0023,"Cedar Rapids, Iowa",Production Supervisor/Team Lead,Supervisor/Team Lead,1.2,4.0,Yes,<1 day,Yes,5.5,3.3,1.4,22.25,No,,4.4,Union
EMP-0024,"Madison, Wisconsin",Demand Planning/Forecasting,Back-office/Support,5.9,4.0,Yes,>2 days,Yes,6.3,2.1,2.7,30.37,Yes,Excellent- comprehensive and very helpful,2.6,Non-Union
EMP-0025,"Cedar Rapids, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,4.9,3.8,No,<1 day,No,6.6,4.4,0.9,18.78,Yes,Good- adequate for most needs,3.1,Non-Union
EMP-0026,"Rockford, Illinois",Quality Control/Quality Assurance,Front-line,4.6,5.4,No,1-2 days,No,7.0,1.3,2.3,21.85,No,,2.9,Union
EMP-0027,"Cedar Rapids, Iowa",Production/Manufacturing Operator,Front-line,1,4.7,Yes,1-2 days,No,5.7,0.0,3.7,20.78,Yes,Fair- some gaps or inconsistencies,3.5,Union
EMP-0028,"Cedar Rapids, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,4.8,5.1,No,>2 days,Yes,5.3,1.6,2.8,27.59,No,,3.5,Union
EMP-0029,"Cedar Rapids, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,5.1,7.4,Yes,>2 days,No,1.7,3.9,2.4,22.78,No,,5,Union
EMP-0030,"Cedar Rapids, Iowa",Demand Planning/Forecasting,Back-office/Support,4.7,8.9,Yes,<1 day,Yes,0.7,4.8,0.9,29.06,Yes,Good- adequate for most needs,4.0,Non-Union
EMP-0031,"Kalamazoo, Michigan",Production Supervisor/Team Lead,Supervisor/Team Lead,6.8,7.9,Yes,1-2 days,Yes,23.8,9.4,6.6,27.89,Yes,Poor - insufficient or unhelpful,2.9,Union
EMP-0032,"Rockford, Illinois",Plant Management,Management,5.4,4.9,No,>2 days,No,1.1,2.3,2.1,40.1,No,,1,Non-Union
EMP-0033,"Toledo, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,6.4,3.2,Yes,1-2 days,No,24.5,15.8,5.5,26.61,Yes,Good- adequate for most needs,3.1,Union
EMP-0034,"Madison, Wisconsin",Maintenance Technician,Front-line,5.9,6.3,No,1-2 days,Yes,1.9,3.5,2.8,23.26,Yes,Good- adequate for most needs,4.2,Union
EMP-0035,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,2.8,8.2,No,>2 days,Yes,18.5,17.2,5.7,23.42,No,,3.1,Non-Union
EMP-0036,"Cedar Rapids, Iowa",Administrative/Support Staff,Back-office/Support,8.5,5.2,No,>2 days,Yes,5.8,4.2,3.7,18.59,Yes,Good- adequate for most needs,4.1,Non-Union
EMP-0037,"Toledo, Ohio",Demand Planning/Forecasting,Back-office/Support,3.6,7.8,No,1-2 days,Yes,12.7,8.6,9.9,29.02,No,,3.2,Non-Union
EMP-0038,"Madison, Wisconsin",Quality Control/Quality Assurance,Front-line,5.3,5.1,Yes,>2 days,Yes,6.2,3.3,3.0,26.8,Yes,Good- adequate for most needs,4.8,Non-Union
EMP-0039,"Cedar Rapids, Iowa",Demand Planning/Forecasting,Back-office/Support,8.8,7.9,No,<1 day,Yes,1.3,3.0,3.0,27.0,No,,2.2,Non-Union
EMP-0040,"Toledo, Ohio",Production Supervisor/Team Lead,Supervisor/Team Lead,7.8,7.6,Yes,>2 days,Yes,9.7,13.7,8.6,30.59,Yes,Good- adequate for most needs,2.5,Non-Union
EMP-0041,"Rockford, Illinois",Administrative/Support Staff,Back-office/Support,3.5,2.7,Yes,1-2 days,Yes,6.6,0.5,3.8,19.49,No,,3.1,Non-Union
EMP-0042,"Toledo, Ohio",Administrative/Support Staff,Back-office/Support,6.1,10,No,1-2 days,Yes,26.2,12.3,5.9,18.11,No,,2.0,Non-Union
EMP-0043,"Rockford, Illinois",Plant Management,Management,7.5,3.8,No,>2 days,Yes,6.8,0.9,0.8,44.08,No,,2.7,Non-Union
EMP-0044,"Toledo, Ohio",Production Supervisor/Team Lead,Supervisor/Team Lead,5.2,4.6,Yes,1-2 days,Yes,23.2,13.0,7.4,28.62,Yes,Fair- some gaps or inconsistencies,2.1,Non-Union
EMP-0045,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,6.4,8.7,No,<1 day,Yes,15.7,10.4,5.8,33.95,Yes,Fair- some gaps or inconsistencies,3.0,Non-Union
EMP-0046,"Rockford, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,4.7,4.5,Yes,<1 day,No,2.4,1.8,1.2,32.31,No,,3.6,Non-Union
EMP-0047,"Rockford, Illinois",Production/Manufacturing Operator,Front-line,4.3,6.1,No,<1 day,Yes,4.6,2.3,1.8,20.4,No,,3.5,Union
EMP-0048,"Madison, Wisconsin",Maintenance Technician,Front-line,4.0,8.1,No,>2 days,Yes,6.5,4.7,0.3,29.98,No,,1.8,Non-Union
EMP-0049,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,5.7,1,Yes,>2 days,Yes,14.7,12.7,8.5,23.79,Yes,Excellent- comprehensive and very helpful,3.3,Union
EMP-0050,"Rockford, Illinois",Administrative/Support Staff,Back-office/Support,6.4,8.6,No,<1 day,Yes,3.6,3.0,1.2,15.92,No,,2.8,Union
EMP-0051,"Toledo, Ohio",Quality Control/Quality Assurance,Front-line,4.4,4.8,Yes,1-2 days,No,20.0,13.1,11.2,22.5,No,,2.4,Non-Union
EMP-0052,"Cedar Rapids, Iowa",Plant Management,Management,6.7,2.8,Yes,<1 day,Yes,3.5,3.0,3.6,38.63,No,,4.3,Union
EMP-0053,"Cedar Rapids, Iowa",Production/Manufacturing Operator,Front-line,2.5,6.1,No,>2 days,No,6.1,0.9,2.1,19.08,No,,3.0,Non-Union
EMP-0054,"Rockford, Illinois",Maintenance Technician,Front-line,7.5,4.3,Yes,1-2 days,Yes,2.6,3.5,1.2,24.93,Yes,Good- adequate for most needs,3.3,Union
EMP-0055,"Kalamazoo, Michigan",Plant Management,Management,7.1,2.7,Yes,<1 day,No,17.1,6.6,6.3,40.59,No,,4.1,Non-Union
EMP-0056,"Rockford, Illinois",Production/Manufacturing Operator,Front-line,5.4,7.6,No,<1 day,Yes,7.8,3.0,1.0,16.76,No,,3.3,Union
EMP-0057,"Madison, Wisconsin",Plant Management,Management,5.0,6.7,No,<1 day,No,7.5,1.5,2.8,46.52,No,,1.7,Union
EMP-0058,"Rockford, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,6.4,4.0,Yes,1-2 days,No,6.2,4.3,1.4,21.88,No,,1.5,Union
EMP-0059,"Toledo, Ohio",Plant Management,Management,5.3,6.0,Yes,>2 days,Yes,15.6,11.7,7.9,47.16,No,,3.4,Union
EMP-0060,"Cedar Rapids, Iowa",Plant Management,Management,5.1,2.3,Yes,1-2 days,Yes,5.6,4.1,1.5,43.2,Yes,Poor - insufficient or unhelpful,3.6,Non-Union
EMP-0061,"Rockford, Illinois",Plant Management,Management,7.8,5.4,No,1-2 days,No,0.1,0.7,3.5,37.29,No,,3.4,Non-Union
EMP-0062,"Cedar Rapids, Iowa",Plant Management,Management,3.9,2.2,Yes,>2 days,Yes,7.0,0.2,0.3,44.47,No,,4.7,Union
EMP-0063,"Toledo, Ohio",Maintenance Technician,Front-line,4.5,3.9,No,1-2 days,Yes,23.3,16.6,3.4,23.78,Yes,Good- adequate for most needs,3.0,Union
EMP-0064,"Rockford, Illinois",Administrative/Support Staff,Back-office/Support,7.4,7.2,No,1-2 days,No,5.0,1.2,3.7,18.01,No,,3.2,Non-Union
EMP-0065,"Kalamazoo, Michigan",Maintenance Technician,Front-line,2.4,10,No,1-2 days,No,9.6,17.2,11.9,25.73,Yes,Good- adequate for most needs,2.5,Non-Union
EMP-0066,"Kalamazoo, Michigan",Supply Chain/Logistics Coordinator,Back-office/Support,5.1,4.2,Yes,>2 days,No,29.8,8.1,11.8,21.03,No,,4.5,Union
EMP-0067,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,6.1,2.1,Yes,>2 days,Yes,12.8,6.7,5.3,27.95,No,,2.7,Non-Union
EMP-0068,"Rockford, Illinois",Demand Planning/Forecasting,Back-office/Support,6.0,4.3,Yes,>2 days,No,5.9,0.5,1.2,27.08,No,,3.8,Non-Union
EMP-0069,"Toledo, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,7.1,5.2,Yes,>2 days,No,24.4,8.7,4.0,21.3,No,,3.5,Non-Union
EMP-0070,"Rockford, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,4.8,3.2,No,<1 day,Yes,4.3,2.3,2.7,19.1,No,,1.1,Non-Union
EMP-0071,"Kalamazoo, Michigan",Production Supervisor/Team Lead,Supervisor/Team Lead,4.1,2.7,Yes,<1 day,Yes,22.2,12.9,7.2,31.29,No,,2.8,Union
EMP-0072,"Madison, Wisconsin",Maintenance Technician,Front-line,3.2,3.1,Yes,1-2 days,Yes,3.1,1.9,3.8,20.79,No,,1.6,Non-Union
EMP-0073,"Rockford, Illinois",Demand Planning/Forecasting,Back-office/Support,2.3,9.8,No,>2 days,No,1.7,2.2,0.9,28.55,Yes,Good- adequate for most needs,4.4,Non-Union
EMP-0074,"Rockford, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,5.3,4.0,Yes,>2 days,Yes,5.1,3.0,0.1,30.02,Yes,Fair- some gaps or inconsistencies,2.6,Union
EMP-0075,"Cedar Rapids, Iowa",Maintenance Technician,Front-line,9.9,4.9,No,<1 day,Yes,6.3,3.0,1.1,25.58,No,,3.9,Union
EMP-0076,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,5.1,6.0,Yes,1-2 days,No,8.3,7.7,4.1,29.88,No,,2.8,Union
EMP-0077,"Kalamazoo, Michigan",Production/Manufacturing Operator,Front-line,3.1,8.2,Yes,<1 day,No,24.0,16.7,8.9,19.14,No,,2.8,Non-Union
EMP-0078,"Rockford, Illinois",Quality Control/Quality Assurance,Front-line,2.1,3.6,No,1-2 days,No,2.6,0.7,0.5,21.16,No,,2.2,Union
EMP-0079,"Kalamazoo, Michigan",Production Supervisor/Team Lead,Supervisor/Team Lead,5.9,3.7,Yes,1-2 days,No,17.5,16.4,6.7,26.69,Yes,Good- adequate for most needs,4.5,Non-Union
EMP-0080,"Rockford, Illinois",Quality Control/Quality Assurance,Front-line,3.7,1.9,Yes,>2 days,No,6.7,0.5,0.4,25.24,No,,1.1,Non-Union
EMP-0081,"Rockford, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,6.7,8.3,Yes,<1 day,No,4.8,1.8,2.3,27.76,No,,1.6,Union
EMP-0082,"Toledo, Ohio",Production/Manufacturing Operator,Front-line,5.6,5.8,No,1-2 days,No,21.4,13.2,9.2,17.27,Yes,Fair- some gaps or inconsistencies,2.4,Union
EMP-0083,"Rockford, Illinois",Quality Control/Quality Assurance,Front-line,3.0,7.1,No,>2 days,Yes,6.0,1.1,1.7,26.17,No,,3.2,Union
EMP-0084,"Rockford, Illinois",Supply Chain/Logistics Coordinator,Back-office/Support,4.8,6.2,Yes,1-2 days,No,3.5,2.1,2.4,21.97,Yes,Fair- some gaps or inconsistencies,1.7,Non-Union
EMP-0085,"Rockford, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,4.6,6.8,Yes,1-2 days,No,3.2,3.0,0.0,26.14,Yes,Excellent- comprehensive and very helpful,2.5,Non-Union
EMP-0086,"Kalamazoo, Michigan",Production Supervisor/Team Lead,Supervisor/Team Lead,8.6,7.2,Yes,1-2 days,Yes,19.0,15.7,10.3,29.22,No,,3.9,Non-Union
EMP-0087,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,7.8,5.7,No,>2 days,No,23.6,9.8,4.0,24.0,Yes,Fair- some gaps or inconsistencies,3.3,Union
EMP-0088,"Toledo, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,8.5,6.8,Yes,1-2 days,No,24.4,7.1,10.0,19.0,No,,3.9,Union
EMP-0089,"Rockford, Illinois",Maintenance Technician,Front-line,4.0,4.7,No,1-2 days,No,2.0,0.9,0.6,22.59,No,,3.3,Non-Union
EMP-0090,"Cedar Rapids, Iowa",Maintenance Technician,Front-line,4.8,2.9,No,>2 days,Yes,3.5,2.3,2.5,27.48,Yes,Good- adequate for most needs,5,Union
EMP-0091,"Rockford, Illinois",Administrative/Support Staff,Back-office/Support,7.7,4.2,Yes,1-2 days,No,3.7,2.8,3.2,19.14,No,,3.3,Non-Union
EMP-0092,"Rockford, Illinois",Maintenance Technician,Front-line,1.3,5.1,No,1-2 days,No,0.3,3.5,4.0,24.61,Yes,Fair- some gaps or inconsistencies,2.4,Non-Union
EMP-0093,"Rockford, Illinois",Demand Planning/Forecasting,Back-office/Support,5.5,2.6,Yes,1-2 days,Yes,0.8,3.4,1.1,32.16,No,,3.0,Non-Union
EMP-0094,"Madison, Wisconsin",Quality Control/Quality Assurance,Front-line,5.2,2.8,Yes,>2 days,No,2.5,1.9,3.2,22.29,No,,4.0,Union
EMP-0095,"Cedar Rapids, Iowa",Plant Management,Management,6.0,8.9,Yes,>2 days,No,1.5,5.0,0.6,39.27,No,,3.0,Union
EMP-0096,"Madison, Wisconsin",Maintenance Technician,Front-line,5.1,7.4,No,1-2 days,Yes,6.7,3.9,3.2,22.29,No,,2.0,Non-Union
EMP-0097,"Madison, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,6.0,3.9,No,1-2 days,No,2.5,4.0,1.9,27.94,No,,2.3,Union
EMP-0098,"Madison, Wisconsin",Maintenance Technician,Front-line,1,8.9,Yes,1-2 days,Yes,7.0,0.3,1.9,31.95,No,,2.9,Union
