equipment_id,plant,product_family,equipment_type,scheduled_hours,actual_hours,standard_hours,labor_hours,scrap_rate,oee,unplanned_downtime_hours,units_produced,cogs_per_ton,failure_cost
EQ-ROC-000,"Rockford, Illinois",Canned Vegetables,Pasteurizer,1733,1586,1627,944,0.0418,0.8117,297,579796,1311.74,13428.4
EQ-ROC-001,"Rockford, Illinois",Canned Vegetables,Filler,3678,3197,3621,2871,0.0368,0.7813,398,354781,1562.72,22948.38
EQ-ROC-002,"Rockford, Illinois",Sauces,Pasteurizer,3912,2747,3329,763,0.0707,0.8684,478,297246,1842.58,42930.29
EQ-ROC-003,"Rockford, Illinois",Canned Vegetables,Labeler,4152,3998,4059,1824,0.048,0.7672,148,552915,1412.38,40015.28
EQ-ROC-004,"Rockford, Illinois",Canned Vegetables,Sealer,4696,3698,4498,1261,0.0733,0.8928,76,475144,1627.94,25348.82
EQ-ROC-005,"Rockford, Illinois",Canned Vegetables,Conveyor,1992,1934,1964,2609,0.0337,0.8761,330,444346,1989.52,37354.69
EQ-ROC-006,"Rockford, Illinois",Canned Vegetables,Labeler,4543,4367,3999,2068,0.0698,0.8549,125,299459,1599.28,5567.85
EQ-ROC-007,"Rockford, Illinois",Condiments,Labeler,3601,3237,3157,2245,0.0682,0.8438,112,485890,1704.96,13410.6
EQ-ROC-008,"Rockford, Illinois",Condiments,Conveyor,2061,1528,2020,2710,0.0362,0.8177,304,480395,1148.16,28810.95
EQ-ROC-009,"Rockford, Illinois",Sauces,Filler,2086,1686,1986,754,0.083,0.8102,230,365046,932.98,41144.21
EQ-ROC-010,"Rockford, Illinois",Condiments,Labeler,4403,3744,4229,2883,0.0305,0.7457,278,558580,1107.91,12617.83
EQ-ROC-011,"Rockford, Illinois",Condiments,Filler,4229,3162,3621,1933,0.0359,0.8175,359,588148,1931.38,14392.21
EQ-ROC-012,"Rockford, Illinois",Canned Vegetables,Sealer,4809,3382,4659,694,0.0665,0.7725,204,334544,1186.82,19387.8
EQ-ROC-013,"Rockford, Illinois",Sauces,Sealer,3256,2429,2910,2823,0.0613,0.7478,155,360347,1405.05,24627.38
EQ-ROC-014,"Rockford, Illinois",Sauces,Conveyor,1673,1174,1586,1068,0.0317,0.7232,182,121148,1207.69,27947.16
EQ-ROC-015,"Rockford, Illinois",Condiments,Sealer,4013,2818,3711,909,0.0417,0.7836,339,332097,1090.85,37628.79
EQ-ROC-016,"Rockford, Illinois",Sauces,Filler,3476,2548,3314,2769,0.0391,0.7519,121,533280,1031.93,6245.98
EQ-ROC-017,"Rockford, Illinois",Canned Vegetables,Labeler,2842,2014,2793,1991,0.0555,0.7886,130,121735,1281.48,7889.72
EQ-ROC-018,"Rockford, Illinois",Sauces,Conveyor,3733,3483,3652,1687,0.0354,0.7848,227,383518,1221.97,41539.85
EQ-ROC-019,"Rockford, Illinois",Condiments,Boiler,3025,2550,2755,988,0.076,0.7787,124,511790,1751.8,42325.65
EQ-ROC-020,"Rockford, Illinois",Condiments,Pasteurizer,3811,2695,3602,1858,0.0356,0.7725,285,402802,874.93,10593.37
EQ-ROC-021,"Rockford, Illinois",Condiments,Labeler,4681,4192,4330,2238,0.0625,0.9395,237,137343,1501.37,20224.76
EQ-ROC-022,"Rockford, Illinois",Condiments,Boiler,2897,2051,2673,1921,0.0853,0.7199,84,571595,1379.81,47643.34
EQ-ROC-023,"Rockford, Illinois",Canned Vegetables,Filler,4595,4073,4288,1129,0.099,0.7846,481,260082,1342.54,44328.9
EQ-ROC-024,"Rockford, Illinois",Condiments,Conveyor,3800,3003,3338,872,0.0732,0.7203,360,378981,1121.33,30381.28
EQ-ROC-025,"Rockford, Illinois",Condiments,Labeler,2325,2089,2150,2946,0.097,0.8323,329,559489,1939.53,14673.21
EQ-ROC-026,"Rockford, Illinois",Sauces,Sealer,3952,3753,3731,909,0.0931,0.877,159,363732,1281.06,24065.96
EQ-ROC-027,"Rockford, Illinois",Sauces,Boiler,4300,3381,3903,1834,0.0487,0.7893,355,230265,1502.64,15463.34
EQ-ROC-028,"Rockford, Illinois",Sauces,Labeler,2875,2558,2500,1099,0.0354,0.762,254,187043,1746.84,11998.44
EQ-ROC-029,"Rockford, Illinois",Canned Vegetables,Sealer,4907,4625,4782,2642,0.0926,0.7067,473,430704,989.65,43344.48
EQ-ROC-030,"Rockford, Illinois",Condiments,Conveyor,2181,1692,1873,1155,0.0914,0.8193,138,562547,1626.84,20451.59
EQ-ROC-031,"Rockford, Illinois",Condiments,Filler,2904,2683,2698,1549,0.0921,0.8017,138,340842,838.59,17417.21
EQ-ROC-032,"Rockford, Illinois",Condiments,Sealer,4297,3149,4238,2131,0.0515,0.7621,116,140630,926.3,20279.03
EQ-ROC-033,"Rockford, Illinois",Sauces,Sealer,2526,2170,2328,1222,0.0836,0.8179,86,390567,1437.77,18467.72
EQ-ROC-034,"Rockford, Illinois",Sauces,Labeler,2551,1955,2210,1418,0.0413,0.8961,234,494490,1389.34,32470.28
EQ-ROC-035,"Rockford, Illinois",Condiments,Pasteurizer,2856,2142,2683,1753,0.061,0.8758,164,481912,1045.16,14648.35
EQ-ROC-036,"Rockford, Illinois",Sauces,Boiler,3349,2809,3231,1925,0.0383,0.7689,259,524422,943.08,21586.28
EQ-ROC-037,"Rockford, Illinois",Sauces,Mixer,4289,3267,3824,2709,0.0424,0.7725,359,223002,858.46,48103.73
EQ-ROC-038,"Rockford, Illinois",Sauces,Filler,2410,2186,2409,564,0.0652,0.8075,185,598148,1086.33,26528.04
EQ-ROC-039,"Rockford, Illinois",Sauces,Pasteurizer,4391,3546,3843,1014,0.0333,0.8158,418,137230,1905.1,33435.7
EQ-ROC-040,"Rockford, Illinois",Canned Vegetables,Conveyor,2973,2700,2701,2313,0.0564,0.8243,159,333766,1895.76,32321.12
EQ-ROC-041,"Rockford, Illinois",Canned Vegetables,Labeler,4504,3233,4445,1994,0.079,0.7054,67,277296,810.75,8488.7
EQ-ROC-042,"Rockford, Illinois",Condiments,Conveyor,1792,1546,1551,2751,0.0523,0.887,87,123121,801.98,16444.37
EQ-ROC-043,"Rockford, Illinois",Canned Vegetables,Filler,4686,3911,4375,2528,0.0679,0.9096,405,550914,1413.72,15207.6
EQ-ROC-044,"Rockford, Illinois",Canned Vegetables,Mixer,4739,3397,4306,700,0.0823,0.7314,217,545889,1354.51,22776.33
EQ-ROC-045,"Rockford, Illinois",Condiments,Boiler,3616,3176,3597,1763,0.0483,0.735,65,132324,1576.8,17866.29
EQ-ROC-046,"Rockford, Illinois",Condiments,Labeler,2444,1887,2082,1689,0.089,0.8141,290,321846,881.28,49089.0
