equipment_id,plant,product_family,scrap_cost,unplanned_failure_cost
EQ-ROC-000,"Rockford, Illinois",Canned Vegetables,31790.64,29387.98
EQ-ROC-001,"Rockford, Illinois",Canned Vegetables,20402.78,18401.71
EQ-ROC-002,"Rockford, Illinois",Sauces,38722.36,21719.37
EQ-ROC-003,"Rockford, Illinois",Canned Vegetables,37484.45,3810.01
EQ-ROC-004,"Rockford, Illinois",Canned Vegetables,56697.98,21945.58
EQ-ROC-005,"Rockford, Illinois",Canned Vegetables,29791.99,11388.85
EQ-ROC-006,"Rockford, Illinois",Canned Vegetables,33428.53,14270.37
EQ-ROC-007,"Rockford, Illinois",Condiments,56498.45,8430.38
EQ-ROC-008,"Rockford, Illinois",Condiments,19966.85,19711.6
EQ-ROC-009,"Rockford, Illinois",Sauces,28268.19,28914.53
EQ-ROC-010,"Rockford, Illinois",Condiments,18875.12,3446.45
EQ-ROC-011,"Rockford, Illinois",Condiments,40780.15,19325.64
EQ-ROC-012,"Rockford, Illinois",Canned Vegetables,26403.39,14897.54
EQ-ROC-013,"Rockford, Illinois",Sauces,31036.53,15841.22
EQ-ROC-014,"Rockford, Illinois",Sauces,4638.0,17986.52
EQ-ROC-015,"Rockford, Illinois",Condiments,15106.58,5853.9
EQ-ROC-016,"Rockford, Illinois",Sauces,21517.03,20891.14
EQ-ROC-017,"Rockford, Illinois",Canned Vegetables,8658.05,16145.08
EQ-ROC-018,"Rockford, Illinois",Sauces,16590.12,23894.26
EQ-ROC-019,"Rockford, Illinois",Condiments,68138.08,12614.04
EQ-ROC-020,"Rockford, Illinois",Condiments,12546.28,25257.7
EQ-ROC-021,"Rockford, Illinois",Condiments,12887.67,10177.67
EQ-ROC-022,"Rockford, Illinois",Condiments,67275.47,28878.23
EQ-ROC-023,"Rockford, Illinois",Canned Vegetables,34567.88,28422.34
EQ-ROC-024,"Rockford, Illinois",Condiments,31107.27,26580.05
EQ-ROC-025,"Rockford, Illinois",Condiments,105259.13,21011.06
