equipment_id,plant,product_family,equipment_type,scheduled_hours,actual_hours,standard_hours,labor_hours,scrap_rate,oee,unplanned_downtime_hours,units_produced,cogs_per_ton,failure_cost
EQ-CHA-000,"Champaign, Illinois",Sauces,Filler,3076,2715,2786,2106,0.0319,0.7397,425,426605,1214.42,39076.39
EQ-CHA-001,"Champaign, Illinois",Condiments,Mixer,2310,2007,2158,878,0.0861,0.7034,303,558791,1576.98,18389.86
EQ-CHA-002,"Champaign, Illinois",Sauces,Sealer,3226,2676,3209,1866,0.0382,0.6952,236,391497,1190.11,23383.22
EQ-CHA-003,"Champaign, Illinois",Sauces,Conveyor,2652,1939,2385,1175,0.0585,0.907,144,137909,1292.2,44463.44
EQ-CHA-004,"Champaign, Illinois",Sauces,Pasteurizer,2816,2527,2436,737,0.0314,0.8275,437,229027,900.08,37544.77
EQ-CHA-005,"Champaign, Illinois",Canned Vegetables,Filler,4746,3594,4301,1443,0.0551,0.7662,140,465634,1625.71,26158.2
EQ-CHA-006,"Champaign, Illinois",Canned Vegetables,Filler,3927,2981,3797,502,0.0995,0.6694,275,492985,1981.57,26031.71
EQ-CHA-007,"Champaign, Illinois",Canned Vegetables,Labeler,1792,1647,1528,1447,0.0455,0.8044,410,529053,1812.83,28386.05
EQ-CHA-008,"Champaign, Illinois",Sauces,Boiler,1887,1377,1735,2173,0.0448,0.7799,253,129332,1084.91,49929.82
EQ-CHA-009,"Champaign, Illinois",Canned Vegetables,Boiler,4289,4199,3846,2899,0.0478,0.8471,220,525688,1622.67,13917.53
EQ-CHA-010,"Champaign, Illinois",Sauces,Sealer,4265,3120,3882,2855,0.0463,0.752,326,472818,1967.17,8909.47
EQ-CHA-011,"Champaign, Illinois",Sauces,Conveyor,2883,2093,2824,2930,0.0402,0.7486,401,560669,1100.54,20069.43
EQ-CHA-012,"Champaign, Illinois",Canned Vegetables,Pasteurizer,2129,1514,2020,2945,0.0879,0.7928,120,574870,806.74,29727.99
EQ-CHA-013,"Champaign, Illinois",Condiments,Filler,2810,2156,2488,2535,0.0533,0.7585,294,215045,988.95,8659.11
EQ-CHA-014,"Champaign, Illinois",Sauces,Filler,4098,3389,3664,657,0.0751,0.7739,443,365314,851.42,31608.83
EQ-CHA-015,"Champaign, Illinois",Sauces,Labeler,3397,2997,2959,636,0.0404,0.8333,224,569908,1697.91,43283.0
EQ-CHA-016,"Champaign, Illinois",Sauces,Labeler,4889,4170,4339,2842,0.0779,0.7951,183,289850,1307.0,32218.0
EQ-CHA-017,"Champaign, Illinois",Sauces,Sealer,3311,2843,3019,1052,0.0966,0.6747,260,253187,1786.8,29890.8
EQ-CHA-018,"Champaign, Illinois",Condiments,Pasteurizer,4378,4152,4032,2872,0.0949,0.8485,137,244065,1067.83,47974.72
