employee_id,plant,role,role_type,digital_readiness_score,digital_comfort_score,willing_to_pilot,training_days_willing,dedicated_training_time,hours_manual_entry,hours_searching_data,hours_fixing_errors,hourly_wage,training_received,training_quality,willingness_to_adopt,union_status
EMP-0000,"Cincinnati, Ohio",Quality Control/Quality Assurance,Front-line,5.4,5.7,No,1-2 days,No,12.5,10.7,7.7,25.42,No,,3.5,Non-Union
EMP-0001,"Sioux City, Iowa",Production/Manufacturing Operator,Front-line,4.4,5.4,No,1-2 days,Yes,0.4,0.5,3.2,16.06,No,,1.7,Non-Union
EMP-0002,"Cincinnati, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,8.2,3.8,Yes,<1 day,No,28.4,7.8,8.5,24.65,Yes,Good- adequate for most needs,4.3,Union
EMP-0003,"Green Bay, Wisconsin",Administrative/Support Staff,Back-office/Support,5.5,2.9,No,>2 days,Yes,8.0,3.6,0.5,14.7,No,,5,Union
EMP-0004,"Cincinnati, Ohio",Maintenance Technician,Front-line,6.8,4.1,Yes,1-2 days,Yes,17.8,17.9,3.6,28.25,No,,2.7,Non-Union
EMP-0005,"Sioux City, Iowa",Quality Control/Quality Assurance,Front-line,5.3,7.6,Yes,<1 day,No,6.5,1.3,3.5,23.47,No,,5,Union
EMP-0006,"Kalamazoo, Michigan",Maintenance Technician,Front-line,2.7,7.4,No,>2 days,No,20.5,10.6,4.7,27.0,Yes,Excellent- comprehensive and very helpful,2.4,Non-Union
EMP-0007,"Green Bay, Wisconsin",Plant Management,Management,5.2,5.2,No,1-2 days,No,0.4,0.0,0.2,38.56,No,,4.1,Non-Union
EMP-0008,"Bloomington, Illinois",Plant Management,Management,4.1,3.8,Yes,>2 days,Yes,5.2,0.1,0.2,41.95,Yes,Fair- some gaps or inconsistencies,3.0,Non-Union
EMP-0009,"Bloomington, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,8.0,3.7,No,>2 days,Yes,3.0,1.6,2.1,32.24,No,,2.6,Union
EMP-0010,"Cincinnati, Ohio",Plant Management,Management,5.8,4.0,Yes,<1 day,Yes,27.8,15.3,10.8,42.26,No,,2.9,Non-Union
EMP-0011,"Sioux City, Iowa",Plant Management,Management,10,9.5,No,<1 day,Yes,2.0,2.7,1.6,40.02,No,,2.3,Non-Union
EMP-0012,"Cincinnati, Ohio",Quality Control/Quality Assurance,Front-line,7.9,4.6,No,>2 days,No,20.8,6.2,4.9,16.39,No,,3.2,Non-Union
EMP-0013,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,3.5,7.8,Yes,1-2 days,Yes,30.0,7.7,9.1,31.77,Yes,Good- adequate for most needs,2.9,Union
EMP-0014,"Cincinnati, Ohio",Plant Management,Management,4.9,5.4,No,1-2 days,Yes,23.8,17.4,11.0,41.38,No,,4.8,Non-Union
EMP-0015,"Bloomington, Illinois",Production/Manufacturing Operator,Front-line,1,7.5,Yes,1-2 days,No,7.3,1.0,3.0,20.2,No,,3.0,Union
EMP-0016,"Green Bay, Wisconsin",Production Supervisor/Team Lead,Supervisor/Team Lead,5.7,6.2,Yes,>2 days,Yes,1.4,2.3,0.6,30.03,No,,4.3,Union
EMP-0017,"Green Bay, Wisconsin",Quality Control/Quality Assurance,Front-line,5.3,1.6,No,>2 days,No,4.2,4.2,1.2,19.91,No,,3.4,Non-Union
EMP-0018,"Green Bay, Wisconsin",Supply Chain/Logistics Coordinator,Back-office/Support,1,5.4,No,1-2 days,Yes,1.9,4.4,1.1,19.14,Yes,Excellent- comprehensive and very helpful,4.5,Non-Union
EMP-0019,"Green Bay, Wisconsin",Demand Planning/Forecasting,Back-office/Support,7.0,5.3,No,1-2 days,Yes,7.7,0.7,2.3,34.19,Yes,Good- adequate for most needs,4.3,Union
EMP-0020,"Sioux City, Iowa",Quality Control/Quality Assurance,Front-line,4.9,2.9,Yes,>2 days,Yes,7.8,3.7,0.1,22.97,No,,3.0,Non-Union
EMP-0021,"Green Bay, Wisconsin",Administrative/Support Staff,Back-office/Support,7.1,1,No,1-2 days,Yes,1.9,2.8,2.2,24.37,Yes,Fair- some gaps or inconsistencies,4.0,Union
EMP-0022,"Green Bay, Wisconsin",Maintenance Technician,Front-line,3.3,6.3,No,<1 day,Yes,6.1,0.4,0.8,23.14,Yes,Fair- some gaps or inconsistencies,4.0,Union
EMP-0023,"Kalamazoo, Michigan",Plant Management,Management,6.2,5.4,Yes,>2 days,No,22.0,8.8,10.1,42.32,Yes,Poor - insufficient or unhelpful,3.5,Non-Union
EMP-0024,"Sioux City, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,9.6,4.8,No,1-2 days,No,4.6,3.3,1.5,28.23,No,,4.6,Non-Union
EMP-0025,"Cincinnati, Ohio",Plant Management,Management,9.0,2.5,No,1-2 days,Yes,19.7,5.8,7.6,37.27,No,,2.6,Union
EMP-0026,"Green Bay, Wisconsin",Production/Manufacturing Operator,Front-line,6.2,6.6,No,<1 day,No,3.6,2.0,3.8,16.96,No,,2.8,Non-Union
EMP-0027,"Cincinnati, Ohio",Plant Management,Management,5.8,4.2,Yes,1-2 days,Yes,14.4,15.9,8.4,46.73,No,,3.6,Non-Union
EMP-0028,"Bloomington, Illinois",Production/Manufacturing Operator,Front-line,5.1,5.2,Yes,>2 days,Yes,5.0,2.2,1.5,16.85,No,,1.7,Union
EMP-0029,"Kalamazoo, Michigan",Administrative/Support Staff,Back-office/Support,8.7,4.0,Yes,1-2 days,No,14.9,9.3,3.1,18.62,Yes,Good- adequate for most needs,2.3,Union
EMP-0030,"Sioux City, Iowa",Demand Planning/Forecasting,Back-office/Support,3.9,5.3,No,>2 days,No,4.5,4.0,3.6,33.07,No,,3.3,Union
EMP-0031,"Kalamazoo, Michigan",Plant Management,Management,9.4,5.1,No,>2 days,No,19.5,17.2,9.4,45.96,No,,2.9,Union
EMP-0032,"Kalamazoo, Michigan",Production Supervisor/Team Lead,Supervisor/Team Lead,3.1,2.5,Yes,1-2 days,Yes,21.8,12.8,5.9,26.73,No,,5,Non-Union
EMP-0033,"Bloomington, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,3.4,4.6,No,>2 days,No,6.3,4.0,0.8,27.28,No,,1.8,Union
EMP-0034,"Green Bay, Wisconsin",Plant Management,Management,3.8,6.4,Yes,<1 day,No,5.0,3.7,1.6,39.04,No,,3.5,Union
EMP-0035,"Kalamazoo, Michigan",Quality Control/Quality Assurance,Front-line,8.6,7.6,No,<1 day,No,16.1,16.0,9.3,22.89,Yes,Excellent- comprehensive and very helpful,3.1,Union
EMP-0036,"Cincinnati, Ohio",Administrative/Support Staff,Back-office/Support,8.9,7.3,No,1-2 days,No,14.6,17.8,9.6,21.49,No,,3.9,Union
EMP-0037,"Sioux City, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,6.1,5.7,No,>2 days,Yes,6.4,3.8,2.6,17.57,Yes,Fair- some gaps or inconsistencies,3.7,Union
EMP-0038,"Sioux City, Iowa",Demand Planning/Forecasting,Back-office/Support,6.0,4.2,No,>2 days,No,7.7,0.3,0.1,30.73,No,,2.8,Union
EMP-0039,"Bloomington, Illinois",Production Supervisor/Team Lead,Supervisor/Team Lead,6.8,4.6,No,<1 day,Yes,3.0,1.4,1.1,19.1,No,,1,Non-Union
EMP-0040,"Sioux City, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,3.4,3.7,Yes,<1 day,Yes,2.6,1.1,0.6,26.1,Yes,Fair- some gaps or inconsistencies,3.6,Non-Union
EMP-0041,"Green Bay, Wisconsin",Demand Planning/Forecasting,Back-office/Support,5.3,5.2,No,>2 days,Yes,5.3,2.1,3.8,31.72,Yes,Fair- some gaps or inconsistencies,3.2,Union
EMP-0042,"Cincinnati, Ohio",Production Supervisor/Team Lead,Supervisor/Team Lead,6.4,8.6,No,<1 day,No,22.8,15.2,8.3,27.93,Yes,Good- adequate for most needs,3.3,Non-Union
EMP-0043,"Sioux City, Iowa",Supply Chain/Logistics Coordinator,Back-office/Support,8.6,6.6,No,>2 days,Yes,6.9,1.7,1.1,23.2,Yes,Fair- some gaps or inconsistencies,2.6,Union
EMP-0044,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,10,6.9,Yes,>2 days,Yes,25.9,4.7,12.0,28.58,No,,3.2,Union
EMP-0045,"Green Bay, Wisconsin",Production/Manufacturing Operator,Front-line,9.8,1.8,No,1-2 days,No,5.9,4.8,0.9,24.74,No,,3.9,Non-Union
EMP-0046,"Kalamazoo, Michigan",Demand Planning/Forecasting,Back-office/Support,8.1,3.9,Yes,>2 days,No,14.9,6.3,3.5,30.66,No,,2.1,Union
EMP-0047,"Sioux City, Iowa",Production/Manufacturing Operator,Front-line,7.4,5.5,Yes,>2 days,No,7.9,4.0,3.1,16.02,Yes,Fair- some gaps or inconsistencies,1.6,Union
EMP-0048,"Cincinnati, Ohio",Supply Chain/Logistics Coordinator,Back-office/Support,5.7,4.8,Yes,1-2 days,No,23.3,5.0,8.3,18.97,No,,2.2,Union
EMP-0049,"Bloomington, Illinois",Demand Planning/Forecasting,Back-office/Support,7.9,6.4,No,<1 day,Yes,0.0,4.5,3.7,32.49,Yes,Excellent- comprehensive and very helpful,3.3,Non-Union
EMP-0050,"Cincinnati, Ohio",Maintenance Technician,Front-line,1,3.8,Yes,<1 day,No,19.4,13.8,4.5,27.33,No,,2.8,Non-Union
