equipment_id,plant,product_family,scrap_cost,unplanned_failure_cost
EQ-BLO-000,"Bloomington, Illinois",Condiments,23102.14,23523.72
EQ-BLO-001,"Bloomington, Illinois",Condiments,19218.81,5256.57
EQ-BLO-002,"Bloomington, Illinois",Sauces,47407.91,25066.46
EQ-BLO-003,"Bloomington, Illinois",Sauces,16237.09,18449.51
EQ-BLO-004,"Bloomington, Illinois",Sauces,39450.34,11981.93
EQ-BLO-005,"Bloomington, Illinois",Sauces,12993.81,18469.33
EQ-BLO-006,"Bloomington, Illinois",Condiments,14093.03,12542.84
EQ-BLO-007,"Bloomington, Illinois",Condiments,51516.31,14671.0
EQ-BLO-008,"Bloomington, Illinois",Sauces,35793.19,17125.72
EQ-BLO-009,"Bloomington, Illinois",Canned Vegetables,29759.98,9819.16
EQ-BLO-010,"Bloomington, Illinois",Canned Vegetables,38286.51,19213.91
EQ-BLO-011,"Bloomington, Illinois",Sauces,17283.28,2411.0
EQ-BLO-012,"Bloomington, Illinois",Condiments,60056.86,15086.67
EQ-BLO-013,"Bloomington, Illinois",Condiments,46973.66,2038.74
EQ-BLO-014,"Bloomington, Illinois",Sauces,24811.62,19181.79
EQ-BLO-015,"Bloomington, Illinois",Canned Vegetables,14513.51,21877.68
EQ-BLO-016,"Bloomington, Illinois",Condiments,11965.76,3266.76
EQ-BLO-017,"Bloomington, Illinois",Sauces,70476.55,28181.74
EQ-BLO-018,"Bloomington, Illinois",Condiments,21086.14,4739.8
EQ-BLO-019,"Bloomington, Illinois",Condiments,39355.47,14124.56
EQ-BLO-020,"Bloomington, Illinois",Sauces,17442.15,19072.77
EQ-BLO-021,"Bloomington, Illinois",Canned Vegetables,17350.07,8118.86
EQ-BLO-022,"Bloomington, Illinois",Condiments,37635.87,28304.58
EQ-BLO-023,"Bloomington, Illinois",Canned Vegetables,68201.65,17731.74
EQ-BLO-024,"Bloomington, Illinois",Sauces,11576.49,24389.54
EQ-BLO-025,"Bloomington, Illinois",Sauces,16545.68,4298.79
EQ-BLO-026,"Bloomington, Illinois",Sauces,45884.76,5458.87
EQ-BLO-027,"Bloomington, Illinois",Condiments,54128.9,27739.62
EQ-BLO-028,"Bloomington, Illinois",Sauces,10481.53,12045.89
EQ-BLO-029,"Bloomington, Illinois",Condiments,12421.61,23768.09
EQ-BLO-030,"Bloomington, Illinois",Sauces,43115.56,26386.96
EQ-BLO-031,"Bloomington, Illinois",Sauces,32100.06,27423.59
EQ-BLO-032,"Bloomington, Illinois",Condiments,14826.44,7224.76
EQ-BLO-033,"Bloomington, Illinois",Sauces,29751.89,22506.7
EQ-BLO-034,"Bloomington, Illinois",Canned Vegetables,11883.4,26199.61
EQ-BLO-035,"Bloomington, Illinois",Condiments,19647.48,5439.68
EQ-BLO-036,"Bloomington, Illinois",Condiments,9543.25,23075.3
EQ-BLO-037,"Bloomington, Illinois",Sauces,45053.73,25839.95
EQ-BLO-038,"Bloomington, Illinois",Canned Vegetables,24664.18,14279.17
EQ-BLO-039,"Bloomington, Illinois",Canned Vegetables,13115.85,5220.9
EQ-BLO-040,"Bloomington, Illinois",Sauces,43432.08,2742.45
EQ-BLO-041,"Bloomington, Illinois",Sauces,14086.6,17527.47
